user_supplied_name,submitted_name,data_source_title,score,matched_name2
Fissidens crispus,Fissidens crispus,Catalogue of Life Checklist,0.988,Fissidens crispus
Fissidens crispus,Fissidens crispus,Tropicos - Missouri Botanical Garden,0.988,Fissidens crispus
Fissidens curvatus,Fissidens curvatus,Encyclopedia of Life,0.988,Fissidens curvatus
Fissidens curvatus,Fissidens curvatus,Catalogue of Life Checklist,0.988,Fissidens curvatus
Fissidens curvatus,Fissidens curvatus,Tropicos - Missouri Botanical Garden,0.988,Fissidens curvatus
Fissidens dubius,Fissidens dubius,Encyclopedia of Life,0.988,Fissidens dubius
Fissidens dubius,Fissidens dubius,Catalogue of Life Checklist,0.988,Fissidens dubius
Fissidens dubius,Fissidens dubius,Tropicos - Missouri Botanical Garden,0.988,Fissidens dubius
Fissidens fontanus,Fissidens fontanus,Encyclopedia of Life,0.988,Fissidens fontanus
Fissidens fontanus,Fissidens fontanus,Catalogue of Life Checklist,0.988,Fissidens fontanus
Fissidens fontanus,Fissidens fontanus,Tropicos - Missouri Botanical Garden,0.988,Fissidens fontanus
Fissidens grandifrons,Fissidens grandifrons,Encyclopedia of Life,0.988,Fissidens grandifrons
Fissidens grandifrons,Fissidens grandifrons,Catalogue of Life Checklist,0.988,Fissidens grandifrons
Fissidens grandifrons,Fissidens grandifrons,Tropicos - Missouri Botanical Garden,0.988,Fissidens grandifrons
Fissidens obtusifolius,Fissidens obtusifolius,Encyclopedia of Life,0.988,Fissidens obtusifolius
Fissidens obtusifolius,Fissidens obtusifolius,Catalogue of Life Checklist,0.988,Fissidens obtusifolius
Fissidens obtusifolius,Fissidens obtusifolius,Tropicos - Missouri Botanical Garden,0.988,Fissidens obtusifolius
Fissidens pauperculus,Fissidens pauperculus,Encyclopedia of Life,0.988,Fissidens pauperculus
Fissidens pauperculus,Fissidens pauperculus,Catalogue of Life Checklist,0.988,Fissidens pauperculus
Fissidens pauperculus,Fissidens pauperculus,Tropicos - Missouri Botanical Garden,0.988,Fissidens pauperculus
Fissidens taxifolius,Fissidens taxifolius,Encyclopedia of Life,0.988,Fissidens taxifolius
Fissidens taxifolius,Fissidens taxifolius,Catalogue of Life Checklist,0.988,Fissidens taxifolius
Fissidens taxifolius,Fissidens taxifolius,Tropicos - Missouri Botanical Garden,0.988,Fissidens taxifolius
Fissidens taylorii,Fissidens taylorii,Catalogue of Life Checklist,0.988,Fissidens taylorii
Fissidens taylorii,Fissidens taylorii,Tropicos - Missouri Botanical Garden,0.988,Fissidens taylorii
Fissidens ventricosus,Fissidens ventricosus,Encyclopedia of Life,0.988,Fissidens ventricosus
Fissidens ventricosus,Fissidens ventricosus,Catalogue of Life Checklist,0.988,Fissidens ventricosus
Fissidens ventricosus,Fissidens ventricosus,Tropicos - Missouri Botanical Garden,0.988,Fissidens ventricosus
Amblystegiaceae,Amblystegiaceae,Catalogue of Life Checklist,0.75,Amblystegiaceae
Amblystegiaceae,Amblystegiaceae,Encyclopedia of Life,0.75,Amblystegiaceae
Amblystegiaceae,Amblystegiaceae,Tropicos - Missouri Botanical Garden,0.75,Amblystegiaceae
Entosthodon,Entosthodon,Catalogue of Life Checklist,0.75,Entosthodon
Entosthodon,Entosthodon,Encyclopedia of Life,0.75,Entosthodon
Entosthodon,Entosthodon,Tropicos - Missouri Botanical Garden,0.75,Entosthodon
Entosthodon californicus,Entosthodon californicus,Encyclopedia of Life,0.988,Entosthodon californicus
Entosthodon californicus,Entosthodon californicus,Catalogue of Life Checklist,0.988,Entosthodon californicus
Entosthodon californicus,Entosthodon californicus,Tropicos - Missouri Botanical Garden,0.988,Entosthodon californicus
Entosthodon drummondii,Entosthodon drummondii,Encyclopedia of Life,0.988,Entosthodon drummondii
Entosthodon drummondii,Entosthodon drummondii,Catalogue of Life Checklist,0.988,Entosthodon drummondii
Entosthodon drummondii,Entosthodon drummondii,Tropicos - Missouri Botanical Garden,0.988,Entosthodon drummondii
Entosthodon fascicularis,Entosthodon fascicularis,Encyclopedia of Life,0.988,Entosthodon fascicularis
Entosthodon fascicularis,Entosthodon fascicularis,Catalogue of Life Checklist,0.988,Entosthodon fascicularis
Entosthodon fascicularis,Entosthodon fascicularis,Tropicos - Missouri Botanical Garden,0.988,Entosthodon fascicularis
Entosthodon kochii,Entosthodon kochii,Encyclopedia of Life,0.988,Entosthodon kochii
Entosthodon kochii,Entosthodon kochii,Catalogue of Life Checklist,0.988,Entosthodon kochii
Entosthodon kochii,Entosthodon kochii,Tropicos - Missouri Botanical Garden,0.988,Entosthodon kochii
Entosthodon rubrisetus,Entosthodon rubrisetus,Encyclopedia of Life,0.988,Entosthodon rubrisetus
Entosthodon rubrisetus,Entosthodon rubrisetus,Catalogue of Life Checklist,0.988,Entosthodon rubrisetus
Entosthodon rubrisetus,Entosthodon rubrisetus,Tropicos - Missouri Botanical Garden,0.988,Entosthodon rubrisetus
Entosthodon tusconi,Entosthodon tusconi,Catalogue of Life Checklist,0.75,Entosthodon tucsoni
Entosthodon tusconi,Entosthodon tusconi,Encyclopedia of Life,0.75,Entosthodon tucsoni
Entosthodon tusconi,Entosthodon tusconi,Tropicos - Missouri Botanical Garden,0.75,Entosthodon tucsoni
Entosthodon tusconi,Entosthodon tusconi,Encyclopedia of Life,0.75,Entosthodon tucsonii
Funaria,Funaria,Catalogue of Life Checklist,0.75,Funaria
Funaria,Funaria,Encyclopedia of Life,0.75,Funaria
Funaria,Funaria,Tropicos - Missouri Botanical Garden,0.75,Funaria
Funaria convexa,Funaria convexa,Encyclopedia of Life,0.988,Funaria convexa
Funaria convexa,Funaria convexa,Tropicos - Missouri Botanical Garden,0.988,Funaria convexa
Funaria hygrometrica,Funaria hygrometrica,Encyclopedia of Life,0.988,Funaria hygrometrica
Funaria hygrometrica,Funaria hygrometrica,Catalogue of Life Checklist,0.988,Funaria hygrometrica
Funaria hygrometrica,Funaria hygrometrica,Tropicos - Missouri Botanical Garden,0.988,Funaria hygrometrica
Funaria microstoma,Funaria microstoma,Encyclopedia of Life,0.988,Funaria microstoma
Funaria microstoma,Funaria microstoma,Catalogue of Life Checklist,0.988,Funaria microstoma
Funaria microstoma,Funaria microstoma,Tropicos - Missouri Botanical Garden,0.988,Funaria microstoma
Funaria muhlenbergii,Funaria muhlenbergii,Encyclopedia of Life,0.988,Funaria muhlenbergii
Funaria muhlenbergii,Funaria muhlenbergii,Tropicos - Missouri Botanical Garden,0.988,Funaria muhlenbergii
Physcomitrella,Physcomitrella,Catalogue of Life Checklist,0.75,Physcomitrella
Physcomitrella,Physcomitrella,Encyclopedia of Life,0.75,Physcomitrella
Physcomitrella,Physcomitrella,Tropicos - Missouri Botanical Garden,0.75,Physcomitrella
Physcomitrella patens,Physcomitrella patens,Encyclopedia of Life,0.988,Physcomitrella patens
Physcomitrella patens,Physcomitrella patens,Catalogue of Life Checklist,0.988,Physcomitrella patens
Physcomitrella patens,Physcomitrella patens,Tropicos - Missouri Botanical Garden,0.988,Physcomitrella patens
Physcomitrella readeri,Physcomitrella readeri,Encyclopedia of Life,0.988,Physcomitrella readeri
Physcomitrella readeri,Physcomitrella readeri,Catalogue of Life Checklist,0.988,Physcomitrella readeri
Physcomitrella readeri,Physcomitrella readeri,Tropicos - Missouri Botanical Garden,0.988,Physcomitrella readeri
Physcomitrium,Physcomitrium,Catalogue of Life Checklist,0.75,Physcomitrium
Physcomitrium,Physcomitrium,Encyclopedia of Life,0.75,Physcomitrium
Physcomitrium,Physcomitrium,Tropicos - Missouri Botanical Garden,0.75,Physcomitrium
Physcomitrium californicum,Physcomitrium californicum,Tropicos - Missouri Botanical Garden,0.988,Physcomitrium californicum
Physcomitrium collenchymatum,Physcomitrium collenchymatum,Encyclopedia of Life,0.988,Physcomitrium collenchymatum
Physcomitrium collenchymatum,Physcomitrium collenchymatum,Catalogue of Life Checklist,0.988,Physcomitrium collenchymatum
Physcomitrium collenchymatum,Physcomitrium collenchymatum,Tropicos - Missouri Botanical Garden,0.988,Physcomitrium collenchymatum
Physcomitrium hookeri,Physcomitrium hookeri,Encyclopedia of Life,0.988,Physcomitrium hookeri
Physcomitrium hookeri,Physcomitrium hookeri,Catalogue of Life Checklist,0.988,Physcomitrium hookeri
Physcomitrium hookeri,Physcomitrium hookeri,Tropicos - Missouri Botanical Garden,0.988,Physcomitrium hookeri
