FinalID,GB_chloro_count,GB_mito_count,GB_mito_fl_count,CommonName,ParentOrganismFinalID,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicLevelCode
Didymodon umbrosus,9,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon umbrosus,NA,NA,60
Didymodon vinealis,16,0,0,NA,Didymodon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Didymodon,NA,Didymodon vinealis,NA,NA,60
Distichium,47,5,5,NA,Ditrichaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Distichium,NA,Distichium,NA,NA,50
Distichium capillaceum,31,2,2,NA,Distichium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Distichium,NA,Distichium capillaceum,NA,NA,60
Distichium inclinatum,9,2,2,NA,Distichium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Distichium,NA,Distichium inclinatum,NA,NA,60
Ditrichaceae,406,48,49,NA,Dicranales,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,NA,NA,Ditrichaceae,NA,NA,40
Ditrichum,35,8,9,NA,Ditrichaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ditrichum,NA,Ditrichum,NA,NA,50
Ditrichum ambiguum,1,0,0,NA,Ditrichum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ditrichum,NA,Ditrichum ambiguum,NA,NA,60
Ditrichum heteromallum,5,1,1,NA,Ditrichum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ditrichum,NA,Ditrichum heteromallum,NA,NA,60
Ditrichum montanum,1,1,1,NA,Ditrichum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ditrichum,NA,Ditrichum montanum,NA,NA,60
Ditrichum pusillum,1,1,1,NA,Ditrichum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ditrichum,NA,Ditrichum pusillum,NA,NA,60
Ditrichum schimperi,0,0,0,NA,Ditrichum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Ditrichaceae,NA,NA,NA,Ditrichum,NA,Ditrichum schimperi,NA,NA,60
Drepanocladus,562,2,2,NA,Amblystegiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Drepanocaldus,NA,Drepanocladus,NA,NA,50
Drepanocladus aduncus,229,1,1,NA,Drepanocladus,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Drepanocaldus,NA,Drepanocladus aduncus,NA,NA,60
Drepanocladus capillifolius,59,0,0,NA,Drepanocladus,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Drepanocaldus,NA,Drepanocladus capillifolius,NA,NA,60
Drepanocladus polycarpos,0,0,0,NA,Drepanocladus,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Drepanocaldus,NA,Drepanocladus polycarpos,NA,NA,60
Drepanocladus polygamus,8,0,0,NA,Drepanocladus,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Drepanocaldus,NA,Drepanocladus polygamus,NA,NA,60
Entosthodon,57,42,43,NA,Funariaceae,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon,NA,NA,50
Entosthodon californicus,0,0,0,NA,Entosthodon,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon californicus,NA,NA,60
Entosthodon drummondii,5,4,4,NA,Entosthodon,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon drummondii,NA,NA,60
Entosthodon fascicularis,5,4,4,NA,Entosthodon,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon fascicularis,NA,NA,60
Entosthodon kochii,0,0,0,NA,Entosthodon,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon kochii,NA,NA,60
Entosthodon rubrisetus,0,0,0,NA,Entosthodon,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon rubrisetus,NA,NA,60
Entosthodon tusconi,0,0,0,NA,Entosthodon,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Entosthodon,NA,Entosthodon tusconi,NA,NA,60
Ephemerum,10,2,2,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Ephemerum,NA,Ephemerum,NA,NA,50
Ephemerum serratum,2,2,2,NA,Ephemerum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Ephemerum,NA,Ephemerum serratum,NA,NA,60
Epipterygium,201,1,1,NA,Mielichhoferiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Mielichhoferiaceae,NA,NA,NA,Epipterygium,NA,Epipterygium,NA,NA,50
Epipterygium tozeri,52,0,0,NA,Epipterygium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Mielichhoferiaceae,NA,NA,NA,Epipterygium,NA,Epipterygium tozeri,NA,NA,60
Eucladium,11,0,0,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Eucladium,NA,Eucladium,NA,NA,50
Eucladium verticillatum,11,0,0,NA,Eucladium,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Eucladium,NA,Eucladium verticillatum,NA,NA,60
Eurhynchiastrum,16,1,1,NA,Brachytheciaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Eurhynchiastrum,NA,Eurhynchiastrum,NA,NA,50
Eurhynchiastrum pulchellum,16,1,1,NA,Eurhynchiastrum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Brachytheciaceae,NA,NA,NA,Eurhynchiastrum,NA,Eurhynchiastrum pulchellum,NA,NA,60
Fabronia,5,1,1,NA,Fabroniaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Fabroniaceae,NA,NA,NA,Fabronia,NA,Fabronia,NA,NA,50
Fabronia pusilla,4,1,1,NA,Fabronia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Fabroniaceae,NA,NA,NA,Fabronia,NA,Fabronia pusilla,NA,NA,60
Fabroniaceae,13,7,7,NA,Hypnales,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Fabroniaceae,NA,NA,NA,NA,NA,Fabroniaceae,NA,NA,40
Fissidens,435,112,112,NA,Fissidentaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens,NA,NA,50
Fissidens aphelotaxifolius,3,1,1,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens aphelotaxifolius,NA,NA,60
Fissidens bryoides,15,6,6,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens bryoides,NA,NA,60
Fissidens crispus,3,2,2,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens crispus,NA,NA,60
Fissidens curvatus,3,3,3,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens curvatus,NA,NA,60
Fissidens dubius,37,7,7,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens dubius,NA,NA,60
Fissidens fontanus,7,3,3,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens fontanus,NA,NA,60
Fissidens grandifrons,5,3,3,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens grandifrons,NA,NA,60
Fissidens obtusifolius,1,2,2,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens obtusifolius,NA,NA,60
Fissidens pauperculus,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens pauperculus,NA,NA,60
Fissidens taxifolius,18,4,4,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens taxifolius,NA,NA,60
Fissidens taylorii,0,0,0,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens taylorii,NA,NA,60
Fissidens ventricosus,2,2,2,NA,Fissidens,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,Fissidens,NA,Fissidens ventricosus,NA,NA,60
Fissidentaceae,435,112,112,NA,Dicranales,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Dicranales,NA,NA,Fissidentaceae,NA,NA,NA,NA,NA,Fissidentaceae,NA,NA,40
Fontinalaceae,108,9,9,NA,Hypnales,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,Fontinalaceae,NA,NA,NA,NA,NA,Fontinalaceae,NA,NA,40
Fontinalis,93,7,7,NA,Fontinalaceae,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,Fontinalaceae,NA,NA,NA,Fontinalis,NA,Fontinalis,NA,NA,50
Fontinalis antipyretica,62,7,7,NA,Fontinalis,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,Fontinalaceae,NA,NA,NA,Fontinalis,NA,Fontinalis antipyretica,NA,NA,60
Fontinalis chrysophylla,1,0,0,NA,Fontinalis,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,Fontinalaceae,NA,NA,NA,Fontinalis,NA,Fontinalis chrysophylla,NA,NA,60
Fontinalis gigantea,4,2,2,NA,Fontinalis,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,Fontinalaceae,NA,NA,NA,Fontinalis,NA,Fontinalis gigantea,NA,NA,60
Fontinalis howellii,0,0,0,NA,Fontinalis,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,Fontinalaceae,NA,NA,NA,Fontinalis,NA,Fontinalis howellii,NA,NA,60
Fontinalis mollis,0,0,0,NA,Fontinalis,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,Fontinalaceae,NA,NA,NA,Fontinalis,NA,Fontinalis mollis,NA,NA,60
Fontinalis neomexicana,1,0,0,NA,Fontinalis,Bryophyta,NA,NA,Bryopsida,NA,NA,Hypnales,NA,NA,Fontinalaceae,NA,NA,NA,Fontinalis,NA,Fontinalis neomexicana,NA,NA,60
Funaria,73,125,129,NA,Funariaceae,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Funaria,NA,Funaria,NA,NA,50
Funaria convexa,0,0,0,NA,Funaria,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Funaria,NA,Funaria convexa,NA,NA,60
Funaria hygrometrica,60,117,121,NA,Funaria,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Funaria,NA,Funaria hygrometrica,NA,NA,60
Funaria microstoma,5,4,4,NA,Funaria,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Funaria,NA,Funaria microstoma,NA,NA,60
Funaria muhlenbergii,0,0,0,NA,Funaria,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,Funaria,NA,Funaria muhlenbergii,NA,NA,60
Funariaceae,368,251,261,NA,Funariales,Bryophyta,NA,NA,Bryopsida,Funariidae,NA,Funariales,NA,NA,Funariaceae,NA,NA,NA,NA,NA,Funariaceae,NA,NA,40
Gemmabryum,89,6,6,NA,Bryaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum,NA,NA,50
Gemmabryum barnesii,6,1,1,NA,Gemmabryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum barnesii,NA,NA,60
Gemmabryum caespiticium,17,2,2,NA,Gemmabryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum caespiticium,NA,NA,60
Gemmabryum californicum,0,0,0,NA,Gemmabryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum californicum,NA,NA,60
Gemmabryum dichotomum,1,0,0,NA,Gemmabryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum dichotomum,NA,NA,60
Gemmabryum gemmiferum,9,0,0,NA,Gemmabryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum gemmiferum,NA,NA,60
Gemmabryum gemmilucens,3,0,0,NA,Gemmabryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum gemmilucens,NA,NA,60
Gemmabryum klinggraeffii,9,0,0,NA,Gemmabryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum klinggraeffii,NA,NA,60
Gemmabryum kunzei,0,0,0,NA,Gemmabryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum kunzei,NA,NA,60
Gemmabryum radiculosum,16,1,1,NA,Gemmabryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum radiculosum,NA,NA,60
Gemmabryum subapiculatum,8,1,1,NA,Gemmabryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum subapiculatum,NA,NA,60
Gemmabryum tenuisetum,0,0,0,NA,Gemmabryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum tenuisetum,NA,NA,60
Gemmabryum valparaisense,0,0,0,NA,Gemmabryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum valparaisense,NA,NA,60
Gemmabryum violaceum,3,0,0,NA,Gemmabryum,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Gemmabryum,NA,Gemmabryum violaceum,NA,NA,60
Grimmia,508,8,8,NA,Grimmiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia,NA,NA,50
Grimmia alpestris,4,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia alpestris,NA,NA,60
Grimmia anodon,9,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia anodon,NA,NA,60
Grimmia anomola,8,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia anomola,NA,NA,60
Grimmia arizonae,0,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia arizonae,NA,NA,60
Grimmia caespiticia,6,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia caespiticia,NA,NA,60
Grimmia hamulosa,1,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia hamulosa,NA,NA,60
Grimmia incurva,6,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia incurva,NA,NA,60
Grimmia laevigata,14,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia laevigata,NA,NA,60
Grimmia leibergii,3,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia leibergii,NA,NA,60
Grimmia lesherae,0,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia lesherae,NA,NA,60
Grimmia lisae,4,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia lisae,NA,NA,60
Grimmia longirostris,15,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia longirostris,NA,NA,60
Grimmia mariniana,0,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia mariniana,NA,NA,60
Grimmia montana,169,1,1,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia montana,NA,NA,60
Grimmia moxleyi,0,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia moxleyi,NA,NA,60
Grimmia nevadensis,1,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia nevadensis,NA,NA,60
Grimmia orbicularis,5,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia orbicularis,NA,NA,60
Grimmia ovalis,21,1,1,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia ovalis,NA,NA,60
Grimmia plagiopodia,10,1,1,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia plagiopodia,NA,NA,60
Grimmia poecilostoma,1,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia poecilostoma,NA,NA,60
Grimmia pulvinata,22,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia pulvinata,NA,NA,60
Grimmia raymondii,7,1,1,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia raymondii,NA,NA,60
Grimmia serrana,0,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia serrana,NA,NA,60
Grimmia sessitana,6,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia sessitana,NA,NA,60
Grimmia shastae,0,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia shastae,NA,NA,60
Grimmia torenii,0,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia torenii,NA,NA,60
Grimmia torquata,4,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia torquata,NA,NA,60
Grimmia trichophylla,14,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia trichophylla,NA,NA,60
Grimmia unicolor,8,0,0,NA,Grimmia,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,Grimmia,NA,Grimmia unicolor,NA,NA,60
Grimmiaceae,1030,21,37,NA,Grimmiales,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Grimmiales,NA,NA,Grimmiaceae,NA,NA,NA,NA,NA,Grimmiaceae,NA,NA,40
Gymnostomum,19,1,1,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Gymnostomum,NA,Gymnostomum,NA,NA,50
Gymnostomum aeruginosum,3,1,1,NA,Gymnostomum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Gymnostomum,NA,Gymnostomum aeruginosum,NA,NA,60
Gymnostomum calcareum,8,0,0,NA,Gymnostomum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Gymnostomum,NA,Gymnostomum calcareum,NA,NA,60
Gymnostomum viridulum,4,0,0,NA,Gymnostomum,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Gymnostomum,NA,Gymnostomum viridulum,NA,NA,60
Haplodontium,10,1,1,NA,Bryaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Haplodontium,NA,Haplodontium,NA,NA,50
Haplodontium tehamense,0,0,0,NA,Haplodontium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bryales,NA,NA,Bryaceae,NA,NA,NA,Haplodontium,NA,Haplodontium tehamense,NA,NA,60
Hedwigia,99,81,81,NA,Hedwigiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hedwigiales,NA,NA,Hedwigiaceae,NA,NA,NA,Hedwigia,NA,Hedwigia,NA,NA,50
Hedwigia ciliata,41,33,33,NA,Hedwigia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hedwigiales,NA,NA,Hedwigiaceae,NA,NA,NA,Hedwigia,NA,Hedwigia ciliata,NA,NA,60
Hedwigia detonsa,1,1,1,NA,Hedwigia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hedwigiales,NA,NA,Hedwigiaceae,NA,NA,NA,Hedwigia,NA,Hedwigia detonsa,NA,NA,60
Hedwigia stellata,10,3,3,NA,Hedwigia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hedwigiales,NA,NA,Hedwigiaceae,NA,NA,NA,Hedwigia,NA,Hedwigia stellata,NA,NA,60
Hedwigiaceae,111,91,91,NA,Hedwigiales,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hedwigiales,NA,NA,Hedwigiaceae,NA,NA,NA,NA,NA,Hedwigiaceae,NA,NA,40
Hennediella,3,0,0,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Hennediella,NA,Hennediella,NA,NA,50
Hennediella heimii,3,0,0,NA,Hennediella,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Hennediella,NA,Hennediella heimii,NA,NA,60
Hennediella stanfordensis,0,0,0,NA,Hennediella,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Hennediella,NA,Hennediella stanfordensis,NA,NA,60
