user_supplied_name,submitted_name,data_source_title,score,matched_name2
Tricholepidiidae,Tricholepidiidae,Encyclopedia of Life,0.75,Tricholepidiidae
Trichoniscidae,Trichoniscidae,Encyclopedia of Life,0.75,Trichoniscidae
Trichoniscidae,Trichoniscidae,Catalogue of Life Checklist,0.75,Trichoniscidae
Tridactylidae,Tridactylidae,Encyclopedia of Life,0.75,Tridactylidae
Tridactylidae,Tridactylidae,Catalogue of Life Checklist,0.75,Tridactylidae
Tylidae,Tylidae,Encyclopedia of Life,0.75,Tylidae
Tylidae,Tylidae,Catalogue of Life Checklist,0.75,Tylidae
Uloboridae,Uloboridae,Catalogue of Life Checklist,0.75,Uloboridae
Uloboridae,Uloboridae,Encyclopedia of Life,0.75,Uloboridae
Vaejovidae,Vaejovidae,Encyclopedia of Life,0.75,Vaejovidae
Vaejovidae,Vaejovidae,Catalogue of Life Checklist,0.75,Vaejovidae
Zodariidae,Zodariidae,Catalogue of Life Checklist,0.75,Zodariidae
Zodariidae,Zodariidae,Encyclopedia of Life,0.75,Zodariidae
Zoridae,Zoridae,Encyclopedia of Life,0.75,Zoridae
Tenebrionidae,Tenebrionidae,Catalogue of Life Checklist,0.75,Tenebrionidae
Tenebrionidae,Tenebrionidae,Encyclopedia of Life,0.75,Tenebrionidae
Trogidae,Trogidae,Encyclopedia of Life,0.75,Trogidae
Trogidae,Trogidae,Catalogue of Life Checklist,0.75,Trogidae
Trogossitidae,Trogossitidae,Catalogue of Life Checklist,0.75,Trogossitidae
Trogossitidae,Trogossitidae,Encyclopedia of Life,0.75,Trogossitidae
Zopheridae,Zopheridae,Catalogue of Life Checklist,0.75,Zopheridae
Zopheridae,Zopheridae,Encyclopedia of Life,0.75,Zopheridae
