"","user_supplied_name","submitted_name","data_source_title","score","matched_name2"
"758","Pohlia elongata","Pohlia elongata","Encyclopedia of Life",0.988,"Pohlia elongata"
"759","Pohlia elongata","Pohlia elongata","Catalogue of Life Checklist",0.988,"Pohlia elongata"
"760","Pohlia elongata","Pohlia elongata","Tropicos - Missouri Botanical Garden",0.988,"Pohlia elongata"
"761","Pohlia filum","Pohlia filum","Encyclopedia of Life",0.988,"Pohlia filum"
"762","Pohlia filum","Pohlia filum","Catalogue of Life Checklist",0.988,"Pohlia filum"
"763","Pohlia filum","Pohlia filum","Tropicos - Missouri Botanical Garden",0.988,"Pohlia filum"
"764","Pohlia flexuosa","Pohlia flexuosa","Encyclopedia of Life",0.988,"Pohlia flexuosa"
"765","Pohlia flexuosa","Pohlia flexuosa","Catalogue of Life Checklist",0.988,"Pohlia flexuosa"
"766","Pohlia flexuosa","Pohlia flexuosa","Tropicos - Missouri Botanical Garden",0.988,"Pohlia flexuosa"
"767","Pohlia lescuriana","Pohlia lescuriana","Encyclopedia of Life",0.988,"Pohlia lescuriana"
"768","Pohlia lescuriana","Pohlia lescuriana","Catalogue of Life Checklist",0.988,"Pohlia lescuriana"
"769","Pohlia lescuriana","Pohlia lescuriana","Tropicos - Missouri Botanical Garden",0.988,"Pohlia lescuriana"
"770","Pohlia longibracteata","Pohlia longibracteata","Encyclopedia of Life",0.988,"Pohlia longibracteata"
"771","Pohlia longibracteata","Pohlia longibracteata","Catalogue of Life Checklist",0.988,"Pohlia longibracteata"
"772","Pohlia longibracteata","Pohlia longibracteata","Tropicos - Missouri Botanical Garden",0.988,"Pohlia longibracteata"
"773","Pohlia ludwigii","Pohlia ludwigii","Encyclopedia of Life",0.988,"Pohlia ludwigii"
"774","Pohlia ludwigii","Pohlia ludwigii","Catalogue of Life Checklist",0.988,"Pohlia ludwigii"
"775","Pohlia ludwigii","Pohlia ludwigii","Tropicos - Missouri Botanical Garden",0.988,"Pohlia ludwigii"
"776","Pohlia nutans","Pohlia nutans","Encyclopedia of Life",0.988,"Pohlia nutans"
"777","Pohlia nutans","Pohlia nutans","Catalogue of Life Checklist",0.988,"Pohlia nutans"
"778","Pohlia nutans","Pohlia nutans","Tropicos - Missouri Botanical Garden",0.988,"Pohlia nutans"
"779","Pohlia obtusifolia","Pohlia obtusifolia","Encyclopedia of Life",0.988,"Pohlia obtusifolia"
"780","Pohlia obtusifolia","Pohlia obtusifolia","Catalogue of Life Checklist",0.988,"Pohlia obtusifolia"
"781","Pohlia obtusifolia","Pohlia obtusifolia","Tropicos - Missouri Botanical Garden",0.988,"Pohlia obtusifolia"
"782","Pohlia pacifica","Pohlia pacifica","Encyclopedia of Life",0.988,"Pohlia pacifica"
"783","Pohlia pacifica","Pohlia pacifica","Catalogue of Life Checklist",0.988,"Pohlia pacifica"
"784","Pohlia pacifica","Pohlia pacifica","Tropicos - Missouri Botanical Garden",0.988,"Pohlia pacifica"
"785","Pohlia proligera","Pohlia proligera","Encyclopedia of Life",0.988,"Pohlia proligera"
"786","Pohlia proligera","Pohlia proligera","Catalogue of Life Checklist",0.988,"Pohlia proligera"
"787","Pohlia proligera","Pohlia proligera","Tropicos - Missouri Botanical Garden",0.988,"Pohlia proligera"
"788","Pohlia robertsonnii","Pohlia robertsonnii","Encyclopedia of Life",0.75,"Pohlia robertsonii"
"789","Pohlia robertsonnii","Pohlia robertsonnii","Tropicos - Missouri Botanical Garden",0.75,"Pohlia robertsonii"
"790","Pohlia tundrae","Pohlia tundrae","Encyclopedia of Life",0.988,"Pohlia tundrae"
"791","Pohlia tundrae","Pohlia tundrae","Catalogue of Life Checklist",0.988,"Pohlia tundrae"
"792","Pohlia tundrae","Pohlia tundrae","Tropicos - Missouri Botanical Garden",0.988,"Pohlia tundrae"
"793","Pohlia wahlenbergii","Pohlia wahlenbergii","Encyclopedia of Life",0.988,"Pohlia wahlenbergii"
"794","Pohlia wahlenbergii","Pohlia wahlenbergii","Catalogue of Life Checklist",0.988,"Pohlia wahlenbergii"
"795","Pohlia wahlenbergii","Pohlia wahlenbergii","Tropicos - Missouri Botanical Garden",0.988,"Pohlia wahlenbergii"
"796","Orthotrichum affine","Orthotrichum affine","Encyclopedia of Life",0.988,"Orthotrichum affine"
"797","Orthotrichum affine","Orthotrichum affine","Catalogue of Life Checklist",0.988,"Orthotrichum affine"
"798","Orthotrichum affine","Orthotrichum affine","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum affine"
"799","Orthotrichum alpestre","Orthotrichum alpestre","Encyclopedia of Life",0.988,"Orthotrichum alpestre"
"800","Orthotrichum alpestre","Orthotrichum alpestre","Catalogue of Life Checklist",0.988,"Orthotrichum alpestre"
"801","Orthotrichum alpestre","Orthotrichum alpestre","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum alpestre"
"802","Orthotrichum anodon","Orthotrichum anodon","Encyclopedia of Life",0.988,"Orthotrichum anodon"
"803","Orthotrichum anodon","Orthotrichum anodon","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum anodon"
"804","Orthotrichum bolanderi","Orthotrichum bolanderi","Encyclopedia of Life",0.988,"Orthotrichum bolanderi"
"805","Orthotrichum bolanderi","Orthotrichum bolanderi","Catalogue of Life Checklist",0.988,"Orthotrichum bolanderi"
"806","Orthotrichum bolanderi","Orthotrichum bolanderi","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum bolanderi"
"807","Orthotrichum consimile","Orthotrichum consimile","Encyclopedia of Life",0.988,"Orthotrichum consimile"
"808","Orthotrichum consimile","Orthotrichum consimile","Catalogue of Life Checklist",0.988,"Orthotrichum consimile"
"809","Orthotrichum consimile","Orthotrichum consimile","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum consimile"
"810","Orthotrichum coulteri","Orthotrichum coulteri","Encyclopedia of Life",0.988,"Orthotrichum coulteri"
"811","Orthotrichum coulteri","Orthotrichum coulteri","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum coulteri"
"812","Orthotrichum cupulatum","Orthotrichum cupulatum","Encyclopedia of Life",0.988,"Orthotrichum cupulatum"
"813","Orthotrichum cupulatum","Orthotrichum cupulatum","Catalogue of Life Checklist",0.988,"Orthotrichum cupulatum"
"814","Orthotrichum cupulatum","Orthotrichum cupulatum","Tropicos - Missouri Botanical Garden",0.988,"Orthotrichum cupulatum"
