Subfamily	Genus	Species	Subspecies	Author Date
Myrmicinae	Temnothorax	andrei		(Emery, 1895)
Myrmicinae	Temnothorax	arboreus		Snelling <i>et al.</i>, 2014
Myrmicinae	Temnothorax	bestelmeyeri		(Mackay, 2000)
Myrmicinae	Temnothorax	bristoli		(Mackay, 2000)
Myrmicinae	Temnothorax	ca09		null
Myrmicinae	Temnothorax	carinatus		(Cole, 1957)
Myrmicinae	Temnothorax	cokendolpheri		(Mackay, 2000)
Myrmicinae	Temnothorax	emmae		(Mackay, 2000)
Myrmicinae	Temnothorax	josephi		(Mackay, 2000)
Myrmicinae	Temnothorax	neomexicanus		(Wheeler, 1903)
Myrmicinae	Temnothorax	nitens		(Emery, 1895)
Myrmicinae	Temnothorax	obliquicanthus		(Cole, 1953)
Myrmicinae	Temnothorax	obturator		(Wheeler, 1903)
Myrmicinae	Temnothorax	pergandei		(Emery, 1895)
Myrmicinae	Temnothorax	politus		(Smith, 1939)
Myrmicinae	Temnothorax	pseudandrei		Snelling <i>et al.</i>, 2014
Myrmicinae	Temnothorax	punctithorax		(Mackay, 2000)
Myrmicinae	Temnothorax	quercicola		Prebus, 2021
Myrmicinae	Temnothorax	rugatulus		(Emery, 1895)
Myrmicinae	Temnothorax	silvestrii		(Santschi, 1911)
Myrmicinae	Temnothorax	stenotyle		(Cole, 1956)
Myrmicinae	Temnothorax	tricarinatus		(Emery, 1895)
Myrmicinae	Temnothorax	whitfordi		(Mackay, 2000)
Myrmicinae	Tetramorium	hispidum		(Wheeler, 1915)
Myrmicinae	Tetramorium	sericeiventre		Emery, 1877
Myrmicinae	Tetramorium	spinosum		(Pergande, 1896)
Myrmicinae	Trachymyrmex	arizonensis		(Wheeler, 1907)
Myrmicinae	Trachymyrmex	carinatus		Mackay & MacKay, 1997
Myrmicinae	Trachymyrmex	desertorum		(Wheeler, 1911)
Myrmicinae	Trachymyrmex	nogalensis		Byars, 1951
Myrmicinae	Trachymyrmex	pomonae		Rabeling & Cover, 2007
Myrmicinae	Veromessor	pergandei		(Mayr, 1886)
Myrmicinae	Veromessor	smithi		Cole, 1963
Ponerinae	Hypoponera	bca01		null
Ponerinae	Hypoponera	inexorata		(Wheeler, 1903)
Ponerinae	Hypoponera	opacior		(Forel, 1893)
Ponerinae	Odontomachus	clarus		Roger, 1861
Ponerinae	Odontomachus	desertorum		Wheeler, 1915
Pseudomyrmecinae	Pseudomyrmex	apache		Creighton, 1953
Pseudomyrmecinae	Pseudomyrmex	pallidus		(Smith, 1855)
