Subfamily,Genus,Species,Subspecies,Author_Date,Arizona,California,BajaCalifornia,Colorado,NewMexico,Nevada,Sonora,Utah,GenSp,GenSpSp,TaxonomicLevelCode
Myrmicinae,Crematogaster,az02,NA,null,1,0,0,0,0,0,0,0,Crematogaster az02,NA,60
Myrmicinae,Crematogaster,browni,NA,"Buren, 1968",1,0,0,0,1,0,1,0,Crematogaster browni,NA,60
Myrmicinae,Crematogaster,cerasi,NA,"(Fitch, 1855)",1,0,0,1,1,0,0,0,Crematogaster cerasi,NA,60
Myrmicinae,Crematogaster,coarctata,NA,"Mayr, 1870",1,1,1,1,1,1,0,1,Crematogaster coarctata,NA,60
Myrmicinae,Crematogaster,colei,NA,"Buren, 1968",1,0,0,0,1,0,1,1,Crematogaster colei,NA,60
Myrmicinae,Crematogaster,dentinodis,NA,"Forel, 1901",1,0,0,0,0,0,1,0,Crematogaster dentinodis,NA,60
Myrmicinae,Crematogaster,depilis,NA,"Wheeler, 1919",1,1,1,0,1,1,1,1,Crematogaster depilis,NA,60
Myrmicinae,Crematogaster,emeryana,NA,"Creighton, 1950",1,1,0,1,1,0,0,1,Crematogaster emeryana,NA,60
Myrmicinae,Crematogaster,hespera,NA,"Buren, 1968",1,1,1,0,1,1,1,1,Crematogaster hespera,NA,60
Myrmicinae,Crematogaster,isolata,NA,"Buren, 1968",1,0,0,0,1,0,0,1,Crematogaster isolata,NA,60
Myrmicinae,Crematogaster,laeviuscula,NA,"Mayr, 1870",1,1,0,0,1,1,0,0,Crematogaster laeviuscula,NA,60
Myrmicinae,Crematogaster,larreae,NA,"Buren, 1968",1,1,0,0,0,0,0,0,Crematogaster larreae,NA,60
Myrmicinae,Crematogaster,lineolata,NA,"(Say, 1836)",1,0,0,1,1,0,0,0,Crematogaster lineolata,NA,60
Myrmicinae,Crematogaster,missouriensis,NA,"Emery, 1895",1,0,0,0,1,0,0,1,Crematogaster missouriensis,NA,60
Myrmicinae,Crematogaster,mutans,NA,"Buren, 1968",1,1,0,0,0,1,0,0,Crematogaster mutans,NA,60
Myrmicinae,Crematogaster,navajoa,NA,"Buren, 1968",1,1,0,1,1,0,0,1,Crematogaster navajoa,NA,60
Myrmicinae,Crematogaster,nocturna,NA,"Buren, 1968",1,0,0,0,0,0,0,1,Crematogaster nocturna,NA,60
Myrmicinae,Crematogaster,opuntiae,NA,"Buren, 1968",1,0,0,0,1,1,1,0,Crematogaster opuntiae,NA,60
